County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
St Lawrence,County Total,2010,,2482.0,141.0,2.0,24.0,19.0,96.0,2341.0,474.0,1809.0,58.0,Non-New York City
Steuben,County Total,2010,,1837.0,164.0,2.0,18.0,13.0,131.0,1673.0,370.0,1259.0,44.0,Non-New York City
Suffolk,County Total,2010,,32638.0,2377.0,52.0,68.0,877.0,1380.0,30261.0,4822.0,23841.0,1598.0,Non-New York City
Sullivan,County Total,2010,,1708.0,219.0,3.0,24.0,34.0,158.0,1489.0,434.0,1004.0,51.0,Non-New York City
Tioga,County Total,2010,,600.0,36.0,0.0,4.0,6.0,26.0,564.0,135.0,418.0,11.0,Non-New York City
Tompkins,County Total,2010,,2505.0,120.0,2.0,16.0,28.0,74.0,2385.0,313.0,2028.0,44.0,Non-New York City
Ulster,County Total,2010,,3840.0,408.0,2.0,31.0,63.0,312.0,3432.0,707.0,2617.0,108.0,Non-New York City
Warren,County Total,2010,,1297.0,99.0,0.0,17.0,9.0,73.0,1198.0,192.0,991.0,15.0,Non-New York City
Washington,County Total,2010,,884.0,93.0,0.0,17.0,6.0,70.0,791.0,225.0,537.0,29.0,Non-New York City
Wayne,County Total,2010,,1966.0,169.0,0.0,21.0,15.0,133.0,1797.0,483.0,1268.0,46.0,Non-New York City
Westchester,County Total,2010,,15392.0,2457.0,20.0,75.0,1095.0,1267.0,12935.0,1983.0,10276.0,676.0,Non-New York City
Wyoming,County Total,2010,,476.0,33.0,0.0,4.0,0.0,29.0,443.0,94.0,339.0,10.0,Non-New York City
Yates,County Total,2010,,474.0,18.0,0.0,5.0,2.0,11.0,456.0,128.0,321.0,7.0,Non-New York City
